,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Customer Type_Loyal Customer,Customer Type_disloyal Customer,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_neutral or dissatisfied,satisfaction_satisfied
2,26,1142,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
4,61,214,3,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
5,26,1180,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0.0,1,0,1,0,0,1,0,1,0,1,0
9,20,1061,3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0.0,0,1,0,1,1,0,0,1,0,1,0
10,24,1182,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0.0,1,0,0,1,1,0,0,1,0,1,0
13,33,946,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0.0,0,1,1,0,0,1,0,1,0,0,1
21,17,208,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0.0,1,0,1,0,0,1,0,1,0,1,0
23,58,2139,4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0.0,1,0,1,0,0,1,0,1,0,1,0
26,33,1561,1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0.0,1,0,1,0,1,0,1,0,0,0,1
36,34,883,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0.0,1,0,0,1,1,0,1,0,0,1,0
39,41,354,1,1,1,2,1,1,1,1,3,3,4,4,4,1,0,0.0,0,1,0,1,1,0,1,0,0,1,0
40,39,1734,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
42,41,296,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
43,38,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
46,22,349,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0.0,1,0,1,0,0,1,1,0,0,1,0
52,69,309,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0.0,1,0,1,0,1,0,0,1,0,0,1
57,40,602,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
60,39,216,2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0.0,0,1,0,1,1,0,1,0,0,1,0
61,52,3475,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
63,48,2501,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
66,38,190,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0.0,0,1,1,0,0,1,0,1,0,1,0
67,46,1532,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
70,53,1506,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
